cpa,prob_f0,prob_f1,prob_f2,prob_f3,prob_f4
4.2,0.6930946291560103,0.2904234157431088,0.015913611821540212,0,5.683432793407218e-4
4.3,0.6697222222222222,0.30444444444444446,0.025833333333333333,0,0
4.4,0.6381230116648993,0.3329798515376458,0.028366914103923647,0,5.302226935312832e-4
4.5,0.6163959783449343,0.34905903583397785,0.03402938901778809,0,5.155968032998196e-4
4.6,0.5978150406504065,0.3648373983739837,0.03709349593495935,0,2.5406504065040653e-4
4.7,0.5980535279805352,0.35936739659367395,0.04184914841849149,0,7.2992700729927e-4
4.8,0.5596330275229358,0.38169966199903427,0.05794302269435055,0,7.242877836793819e-4
4.9,0.5469885165221468,0.39067260370283574,0.06187016639325053,0,4.6871338176704945e-4
5,0.5187189896256202,0.4093369418132612,0.07081641858367163,0,0.0011276499774470004
5.1,0.4959443800695249,0.4257242178447277,0.07809965237543454,0,2.317497103128621e-4
5.2,0.4771314387211368,0.43783303730017764,0.08392539964476022,0,0.0011101243339253996
5.3,0.4520457545094589,0.44060712714474265,0.10690717113946327,0,4.399472063352398e-4
5.4,0.4488869677977091,0.443267776096823,0.10719688783228874,0,6.483682731791658e-4
5.5,0.4197557317334476,0.4538247268052282,0.12556245982429826,0,8.570816370259267e-4
5.6,0.4063888301248149,0.4499682674000423,0.1425851491432198,0,0.0010577533319229956
5.7,0.3792152704135737,0.46786850477200426,0.15121951219512195,0,0.001696712619300106
5.8,0.3765156349712827,0.45862582429270365,0.16358221654967028,0,0.0012763241863433313
5.9,0.3583157894736842,0.46189473684210525,0.17873684210526317,0,0.0010526315789473684
6,0.3297960882230545,0.46878901373283394,0.19975031210986266,0,0.0016645859342488557
6.1,0.32651757188498404,0.45814696485623,0.2132055378061768,0,0.002129925452609159
6.2,0.3131753948462178,0.45116375727348296,0.23462177888611804,0,0.0010390689941812137
6.3,0.3060382276281494,0.4613379669852302,0.23001737619461338,0,0.0026064291920069507
6.4,0.2851472738667224,0.45247545435554626,0.26070607896386044,0,0.0016711928138709003
6.5,0.26429772918418837,0.4577375946173255,0.27544154751892347,0,0.002523128679562658
6.6,0.2508031698436496,0.46219747269222533,0.28442921396444637,2.1417862497322766e-4,0.0023559648747055045
6.7,0.256453660600931,0.4460431654676259,0.29475243334743967,0,0.0027507405840033854
6.8,0.24946143903489876,0.42826367944851357,0.3203360620422232,0,0.001938819474364498
6.9,0.2255541069100391,0.42916123424598,0.3431116905693177,0,0.0021729682746631897
7,0.22256500661084178,0.4259585720581754,0.3477302776553548,2.2036139268400177e-4,0.0035257822829440283
7.1,0.200086523902228,0.41964092580575385,0.3757300454250487,0,0.004542504866969501
7.2,0.19544937428896472,0.40796359499431173,0.391353811149033,2.2753128555176336e-4,0.005005688282138794
7.3,0.20561615223949872,0.39916453933627294,0.3922023671385472,0,0.0030169412856811324
7.4,0.18713035249585994,0.39791814525668323,0.4099834397918145,0,0.0049680624556423
7.5,0.1666265350349145,0.3924873585359981,0.4353479412472911,0,0.005538165181796292
7.6,0.1669425396074722,0.38448805864270513,0.44384015133601323,0,0.004729250413809411
7.7,0.15903671912255604,0.3702908917501192,0.46447305674773487,2.384358607534573e-4,0.005960896518836433
7.8,0.14706604468450774,0.376626565185367,0.46722317701939603,0,0.009084213110729192
